date,sales,month,quarter,year,lag_1,lag_12,roll_3
2017-07-01,8328730.0,7,3,2017,8223990.0,6797531.0,8413995.333333334
2017-07-01,8272201.0,7,3,2017,8328730.0,8071889.0,8274973.666666667
2017-08-01,8813410.0,8,3,2017,8272201.0,6634331.0,8471447.0
2017-08-01,8529984.0,8,3,2017,8813410.0,8151735.0,8538531.666666666
2017-09-01,8503051.0,9,3,2017,8529984.0,8124009.0,8615481.666666666
2017-09-01,8367993.0,9,3,2017,8503051.0,8251571.0,8467009.333333334
2017-10-01,8556966.0,10,4,2017,8367993.0,8345406.0,8476003.333333334
2017-10-01,8536718.0,10,4,2017,8556966.0,8430747.0,8487225.666666666
2017-11-01,9066968.0,11,4,2017,8536718.0,9069991.0,8720217.333333334
2017-11-01,8554292.0,11,4,2017,9066968.0,8374712.0,8719326.0
2017-12-01,9349629.0,12,4,2017,8554292.0,8689266.0,8990296.333333334
2017-12-01,8513456.0,12,4,2017,9349629.0,8223990.0,8805792.333333334
2018-01-01,7285663.0,1,1,2018,8513456.0,8328730.0,8382916.0
2018-01-01,8560481.0,1,1,2018,7285663.0,8272201.0,8119866.666666667
2018-02-01,6979968.0,2,1,2018,8560481.0,8813410.0,7608704.0
2018-02-01,8552028.0,2,1,2018,6979968.0,8529984.0,8030825.666666667
2018-03-01,8474461.0,3,1,2018,8552028.0,8503051.0,8002152.333333333
2018-03-01,8609939.0,3,1,2018,8474461.0,8367993.0,8545476.0
2018-04-01,8202702.0,4,2,2018,8609939.0,8556966.0,8429034.0
2018-04-01,8352764.0,4,2,2018,8202702.0,8536718.0,8388468.333333333
2018-05-01,9401573.0,5,2,2018,8352764.0,9066968.0,8652346.333333334
2018-05-01,8551087.0,5,2,2018,9401573.0,8554292.0,8768474.666666666
2018-06-01,9385235.0,6,2,2018,8551087.0,9349629.0,9112631.666666666
2018-06-01,8875467.0,6,2,2018,9385235.0,8513456.0,8937263.0
2018-07-01,8775211.0,7,3,2018,8875467.0,7285663.0,9011971.0
2018-07-01,8738058.0,7,3,2018,8775211.0,8560481.0,8796245.333333334
2018-08-01,9186373.0,8,3,2018,8738058.0,6979968.0,8899880.666666666
2018-08-01,8889234.0,8,3,2018,9186373.0,8552028.0,8937888.333333334
2018-09-01,8906395.0,9,3,2018,8889234.0,8474461.0,8994000.666666666
2018-09-01,8860099.0,9,3,2018,8906395.0,8609939.0,8885242.666666666
2018-10-01,9297329.0,10,4,2018,8860099.0,8202702.0,9021274.333333334
2018-10-01,9107057.0,10,4,2018,9297329.0,8352764.0,9088161.666666666
2018-11-01,9414172.0,11,4,2018,9107057.0,9401573.0,9272852.666666666
2018-11-01,8870124.0,11,4,2018,9414172.0,8551087.0,9130451.0
2018-12-01,9513440.0,12,4,2018,8870124.0,9385235.0,9265912.0
2018-12-01,8856185.0,12,4,2018,9513440.0,8875467.0,9079916.333333334
2019-01-01,7530904.0,1,1,2019,8856185.0,8775211.0,8633509.666666666
2019-01-01,8816847.0,1,1,2019,7530904.0,8738058.0,8401312.0
2019-02-01,7214156.0,2,1,2019,8816847.0,9186373.0,7853969.0
2019-02-01,8828820.0,2,1,2019,7214156.0,8889234.0,8286607.666666667
2019-03-01,8675488.0,3,1,2019,8828820.0,8906395.0,8239488.0
2019-03-01,8853920.0,3,1,2019,8675488.0,8860099.0,8786076.0
2019-04-01,8861571.0,4,2,2019,8853920.0,9297329.0,8796993.0
2019-04-01,8970817.0,4,2,2019,8861571.0,9107057.0,8895436.0
2019-05-01,10131572.0,5,2,2019,8970817.0,9414172.0,9321320.0
2019-05-01,9184031.0,5,2,2019,10131572.0,8870124.0,9428806.666666666
2019-06-01,9540679.0,6,2,2019,9184031.0,9513440.0,9618760.666666666
2019-06-01,9178795.0,6,2,2019,9540679.0,8856185.0,9301168.333333334
2019-07-01,9438770.0,7,3,2019,9178795.0,7530904.0,9386081.333333334
2019-07-01,9284227.0,7,3,2019,9438770.0,8816847.0,9300597.333333334
2019-08-01,9407829.0,8,3,2019,9284227.0,7214156.0,9376942.0
2019-08-01,9185404.0,8,3,2019,9407829.0,8828820.0,9292486.666666666
2019-09-01,9247495.0,9,3,2019,9185404.0,8675488.0,9280242.666666666
2019-09-01,9297821.0,9,3,2019,9247495.0,8853920.0,9243573.333333334
2019-10-01,9432666.0,10,4,2019,9297821.0,8861571.0,9325994.0
2019-10-01,9098712.0,10,4,2019,9432666.0,8970817.0,9276399.666666666
2019-11-01,9967839.0,11,4,2019,9098712.0,10131572.0,9499739.0
2019-11-01,9338893.0,11,4,2019,9967839.0,9184031.0,9468481.333333334
2019-12-01,10314901.0,12,4,2019,9338893.0,9540679.0,9873877.666666666
2019-12-01,9725583.0,12,4,2019,10314901.0,9178795.0,9793125.666666666
2020-01-01,8229343.0,1,1,2020,9725583.0,9438770.0,9423275.666666666
2020-01-01,9573470.0,1,1,2020,8229343.0,9284227.0,9176132.0
2020-02-01,8355766.0,2,1,2020,9573470.0,9407829.0,8719526.333333334
2020-02-01,9815548.0,2,1,2020,8355766.0,9185404.0,9248261.333333334
2020-03-01,8236567.0,3,1,2020,9815548.0,9247495.0,8802627.0
2020-03-01,8567137.0,3,1,2020,8236567.0,9297821.0,8873084.0
2020-04-01,6035003.0,4,2,2020,8567137.0,9432666.0,7612902.333333333
2020-04-01,6026882.0,4,2,2020,6035003.0,9098712.0,6876340.666666667
2020-05-01,7467072.0,5,2,2020,6026882.0,9967839.0,6509652.333333333
2020-05-01,6755523.0,5,2,2020,7467072.0,9338893.0,6749825.666666667
2020-06-01,9389236.0,6,2,2020,6755523.0,10314901.0,7870610.333333333
2020-06-01,9033691.0,6,2,2020,9389236.0,9725583.0,8392816.666666666
2020-07-01,9450205.0,7,3,2020,9033691.0,8229343.0,9291044.0
2020-07-01,9086915.0,7,3,2020,9450205.0,9573470.0,9190270.333333334
2020-08-01,9095052.0,8,3,2020,9086915.0,8355766.0,9210724.0
2020-08-01,9082432.0,8,3,2020,9095052.0,9815548.0,9088133.0
2020-09-01,9740680.0,9,3,2020,9082432.0,8236567.0,9306054.666666666
2020-09-01,9522784.0,9,3,2020,9740680.0,8567137.0,9448632.0
2020-10-01,9396353.0,10,4,2020,9522784.0,6035003.0,9553272.333333334
2020-10-01,9038917.0,10,4,2020,9396353.0,6026882.0,9319351.333333334
2020-11-01,9878429.0,11,4,2020,9038917.0,7467072.0,9437899.666666666
